cod;nome;período;ipeahomicidio-de-jovens-por-armas-de-fogo;ipeahomicidios-de-homens-por-armas-de-fogo;ipeahomicidios-de-jovens-homens;ipeahomicidios-de-jovens-mulheres;ipeahomicidios-de-jovens;ipeahomicidios-de-mulheres-por-armas-de-fogo;ipeahomicidios-homens-nao-negros;ipeahomicidios-homens-negros;ipeahomicidios-homens;ipeahomicidios-mulheres-nao-negras;ipeahomicidios-mulheres-negras;ipeahomicidios-mulheres;ipeahomicidios-nao-negros;ipeahomicidios-negros;ipeahomicidios-por-armas-de-fogo;ipeahomicidios
53;DF;1998;633;633;633;633;633;633;633;633;633;633;633;633;633;633;633;633
25;PB;1998;455;455;455;455;455;455;455;455;455;455;455;455;455;455;455;455
26;PE;1998;4423;4423;4423;4423;4423;4423;4423;4423;4423;4423;4423;4423;4423;4423;4423;4423
27;AL;1998;582;582;582;582;582;582;582;582;582;582;582;582;582;582;582;582
28;SE;1998;175;175;175;175;175;175;175;175;175;175;175;175;175;175;175;175
29;BA;1998;1271;1271;1271;1271;1271;1271;1271;1271;1271;1271;1271;1271;1271;1271;1271;1271
31;MG;1998;1511;1511;1511;1511;1511;1511;1511;1511;1511;1511;1511;1511;1511;1511;1511;1511
32;ES;1998;1675;1675;1675;1675;1675;1675;1675;1675;1675;1675;1675;1675;1675;1675;1675;1675
33;RJ;1998;7573;7573;7573;7573;7573;7573;7573;7573;7573;7573;7573;7573;7573;7573;7573;7573
35;SP;1998;13986;13986;13986;13986;13986;13986;13986;13986;13986;13986;13986;13986;13986;13986;13986;13986
41;PR;1998;1625;1625;1625;1625;1625;1625;1625;1625;1625;1625;1625;1625;1625;1625;1625;1625
42;SC;1998;414;414;414;414;414;414;414;414;414;414;414;414;414;414;414;414
43;RS;1998;1524;1524;1524;1524;1524;1524;1524;1524;1524;1524;1524;1524;1524;1524;1524;1524
50;MS;1998;670;670;670;670;670;670;670;670;670;670;670;670;670;670;670;670
51;MT;1998;832;832;832;832;832;832;832;832;832;832;832;832;832;832;832;832
13;AM;1999;527;527;527;527;527;527;527;527;527;527;527;527;527;527;527;527
53;DF;1999;659;659;659;659;659;659;659;659;659;659;659;659;659;659;659;659
52;GO;1999;853;853;853;853;853;853;853;853;853;853;853;853;853;853;853;853
51;MT;1999;822;822;822;822;822;822;822;822;822;822;822;822;822;822;822;822
50;MS;1999;571;571;571;571;571;571;571;571;571;571;571;571;571;571;571;571
43;RS;1999;1533;1533;1533;1533;1533;1533;1533;1533;1533;1533;1533;1533;1533;1533;1533;1533
42;SC;1999;385;385;385;385;385;385;385;385;385;385;385;385;385;385;385;385
41;PR;1999;1706;1706;1706;1706;1706;1706;1706;1706;1706;1706;1706;1706;1706;1706;1706;1706
35;SP;1999;15763;15763;15763;15763;15763;15763;15763;15763;15763;15763;15763;15763;15763;15763;15763;15763
33;RJ;1999;7261;7261;7261;7261;7261;7261;7261;7261;7261;7261;7261;7261;7261;7261;7261;7261
32;ES;1999;1524;1524;1524;1524;1524;1524;1524;1524;1524;1524;1524;1524;1524;1524;1524;1524
31;MG;1999;1596;1596;1596;1596;1596;1596;1596;1596;1596;1596;1596;1596;1596;1596;1596;1596
29;BA;1999;913;913;913;913;913;913;913;913;913;913;913;913;913;913;913;913
11;RO;1999;432;432;432;432;432;432;432;432;432;432;432;432;432;432;432;432
28;SE;1999;329;329;329;329;329;329;329;329;329;329;329;329;329;329;329;329
27;AL;1999;554;554;554;554;554;554;554;554;554;554;554;554;554;554;554;554
26;PE;1999;4217;4217;4217;4217;4217;4217;4217;4217;4217;4217;4217;4217;4217;4217;4217;4217
25;PB;1999;403;403;403;403;403;403;403;403;403;403;403;403;403;403;403;403
