cod;nome;período;ipeahomicidio-de-jovens-por-armas-de-fogo;ipeahomicidios-de-homens-por-armas-de-fogo;ipeahomicidios-de-jovens-homens;ipeahomicidios-de-jovens-mulheres;ipeahomicidios-de-jovens;ipeahomicidios-de-mulheres-por-armas-de-fogo;ipeahomicidios-homens-nao-negros;ipeahomicidios-homens-negros;ipeahomicidios-homens;ipeahomicidios-mulheres-nao-negras;ipeahomicidios-mulheres-negras;ipeahomicidios-mulheres;ipeahomicidios-nao-negros;ipeahomicidios-negros;ipeahomicidios-por-armas-de-fogo;ipeahomicidios
28;SE;2020;981;981;981;981;981;981;981;981;981;981;981;981;981;981;981;981
29;BA;2020;7076;7076;7076;7076;7076;7076;7076;7076;7076;7076;7076;7076;7076;7076;7076;7076
31;MG;2020;2743;2743;2743;2743;2743;2743;2743;2743;2743;2743;2743;2743;2743;2743;2743;2743
32;ES;2020;1229;1229;1229;1229;1229;1229;1229;1229;1229;1229;1229;1229;1229;1229;1229;1229
33;RJ;2020;4831;4831;4831;4831;4831;4831;4831;4831;4831;4831;4831;4831;4831;4831;4831;4831
35;SP;2020;3396;3396;3396;3396;3396;3396;3396;3396;3396;3396;3396;3396;3396;3396;3396;3396
41;PR;2020;2281;2281;2281;2281;2281;2281;2281;2281;2281;2281;2281;2281;2281;2281;2281;2281
42;SC;2020;732;732;732;732;732;732;732;732;732;732;732;732;732;732;732;732
43;RS;2020;2094;2094;2094;2094;2094;2094;2094;2094;2094;2094;2094;2094;2094;2094;2094;2094
50;MS;2020;491;491;491;491;491;491;491;491;491;491;491;491;491;491;491;491
51;MT;2020;987;987;987;987;987;987;987;987;987;987;987;987;987;987;987;987
52;GO;2020;2177;2177;2177;2177;2177;2177;2177;2177;2177;2177;2177;2177;2177;2177;2177;2177
16;AP;2021;462;462;462;462;462;462;462;462;462;462;462;462;462;462;462;462
11;RO;2021;536;536;536;536;536;536;536;536;536;536;536;536;536;536;536;536
12;AC;2021;205;205;205;205;205;205;205;205;205;205;205;205;205;205;205;205
13;AM;2021;1816;1816;1816;1816;1816;1816;1816;1816;1816;1816;1816;1816;1816;1816;1816;1816
14;RR;2021;258;258;258;258;258;258;258;258;258;258;258;258;258;258;258;258
15;PA;2021;2847;2847;2847;2847;2847;2847;2847;2847;2847;2847;2847;2847;2847;2847;2847;2847
52;GO;2021;1812;1812;1812;1812;1812;1812;1812;1812;1812;1812;1812;1812;1812;1812;1812;1812
51;MT;2021;888;888;888;888;888;888;888;888;888;888;888;888;888;888;888;888
50;MS;2021;551;551;551;551;551;551;551;551;551;551;551;551;551;551;551;551
43;RS;2021;1889;1889;1889;1889;1889;1889;1889;1889;1889;1889;1889;1889;1889;1889;1889;1889
42;SC;2021;712;712;712;712;712;712;712;712;712;712;712;712;712;712;712;712
41;PR;2021;2348;2348;2348;2348;2348;2348;2348;2348;2348;2348;2348;2348;2348;2348;2348;2348
35;SP;2021;3094;3094;3094;3094;3094;3094;3094;3094;3094;3094;3094;3094;3094;3094;3094;3094
33;RJ;2021;4693;4693;4693;4693;4693;4693;4693;4693;4693;4693;4693;4693;4693;4693;4693;4693
32;ES;2021;1253;1253;1253;1253;1253;1253;1253;1253;1253;1253;1253;1253;1253;1253;1253;1253
31;MG;2021;2577;2577;2577;2577;2577;2577;2577;2577;2577;2577;2577;2577;2577;2577;2577;2577
29;BA;2021;7206;7206;7206;7206;7206;7206;7206;7206;7206;7206;7206;7206;7206;7206;7206;7206
28;SE;2021;790;790;790;790;790;790;790;790;790;790;790;790;790;790;790;790
27;AL;2021;1070;1070;1070;1070;1070;1070;1070;1070;1070;1070;1070;1070;1070;1070;1070;1070
26;PE;2021;3439;3439;3439;3439;3439;3439;3439;3439;3439;3439;3439;3439;3439;3439;3439;3439
25;PB;2021;1144;1144;1144;1144;1144;1144;1144;1144;1144;1144;1144;1144;1144;1144;1144;1144
24;RN;2021;1179;1179;1179;1179;1179;1179;1179;1179;1179;1179;1179;1179;1179;1179;1179;1179
23;CE;2021;3471;3471;3471;3471;3471;3471;3471;3471;3471;3471;3471;3471;3471;3471;3471;3471
22;PI;2021;766;766;766;766;766;766;766;766;766;766;766;766;766;766;766;766
21;MA;2021;1999;1999;1999;1999;1999;1999;1999;1999;1999;1999;1999;1999;1999;1999;1999;1999
17;TO;2021;441;441;441;441;441;441;441;441;441;441;441;441;441;441;441;441
53;DF;2021;401;401;401;401;401;401;401;401;401;401;401;401;401;401;401;401
